ValorCredito,Plazo,valor_cuota
2000000,12,$196.038
2000000,24,$112.941
2000000,36,$86.091
2000000,48,No se pudo realizar la simulación
3000000,24,$169.411
3000000,36,$129.136
4500000,6,No se pudo realizar la simulación
4500000,24,$254.116
10000000,24,$564.703
10000000,36,$430.453
